t_s,ref_x_mm,ref_y_mm,pose_x_mm,pose_y_mm,err_mm,u1_mm,u2_mm,u3_mm
37.4000,258.3551,-23.8289,257.7687,-27.2136,3.4351,-3.2916,2.7282,0.3513
37.6000,258.5955,-22.0875,258.0448,-25.5230,3.4794,-3.2333,2.7530,0.3221
37.8000,258.8176,-20.3243,258.3031,-23.8073,3.5208,-3.1751,2.7793,0.2924
38.0000,259.0211,-18.5410,258.5433,-22.0681,3.5593,-3.1171,2.8070,0.2622
38.2000,259.2059,-16.7395,258.7651,-20.3071,3.5947,-3.0591,2.8360,0.2316
38.4000,259.3717,-14.9214,258.9684,-18.5260,3.6271,-3.0013,2.8662,0.2007
38.6000,259.5183,-13.0886,259.1529,-16.7266,3.6564,-2.9436,2.8975,0.1693
38.8000,259.6457,-11.2429,259.3185,-14.9108,3.6824,-2.8860,2.9297,0.1376
39.0000,259.7538,-9.3861,259.4651,-13.0801,3.7053,-2.8284,2.9629,0.1057
39.2000,259.8423,-7.5200,259.5924,-11.2366,3.7250,-2.7710,2.9969,0.0734
39.4000,259.9112,-5.6465,259.7004,-9.3820,3.7415,-2.7138,3.0316,0.0409
39.6000,259.9605,-3.7674,259.7889,-7.5181,3.7546,-2.6567,3.0670,0.0082
39.8000,259.9901,-1.8846,259.8579,-5.6468,3.7645,-2.5997,3.1031,-0.0247
