t_s,ref_x_mm,ref_y_mm,pose_x_mm,pose_y_mm,err_mm,u1_mm,u2_mm,u3_mm
30.2000,240.6282,-59.9704,239.2484,-59.8594,1.3843,-5.7800,4.1968,0.1108
30.4000,241.2558,-59.8816,239.8791,-59.8899,1.3767,-5.7159,4.1085,0.1356
30.6000,241.8822,-59.7337,240.5099,-59.8615,1.3782,-5.6508,4.0229,0.1586
30.8000,242.5067,-59.5269,241.1400,-59.7742,1.3889,-5.5850,3.9401,0.1799
31.0000,243.1287,-59.2613,241.7689,-59.6279,1.4084,-5.5184,3.8603,0.1994
31.2000,243.7476,-58.9372,242.3959,-59.4230,1.4363,-5.4512,3.7836,0.2173
31.4000,244.3629,-58.5550,243.0205,-59.1595,1.4722,-5.3835,3.7099,0.2334
31.6000,244.9738,-58.1150,243.6420,-58.8377,1.5153,-5.3153,3.6395,0.2478
31.8000,245.5798,-57.6176,244.2597,-58.4579,1.5648,-5.2468,3.5723,0.2605
32.0000,246.1803,-57.0634,244.8731,-58.0204,1.6201,-5.1780,3.5084,0.2716
32.2000,246.7748,-56.4528,245.4816,-57.5257,1.6802,-5.1090,3.4479,0.2809
32.4000,247.3625,-55.7866,246.0846,-56.9743,1.7446,-5.0399,3.3908,0.2885
32.6000,247.9430,-55.0653,246.6815,-56.3667,1.8125,-4.9708,3.3372,0.2945
32.8000,248.5156,-54.2896,247.2716,-55.7035,1.8832,-4.9017,3.2871,0.2988
33.0000,249.0798,-53.4604,247.8545,-54.9853,1.9562,-4.8327,3.2405,0.3015
33.2000,249.6351,-52.5784,248.4295,-54.2128,2.0309,-4.7638,3.1974,0.3026
33.4000,250.1808,-51.6445,248.9960,-53.3867,2.1069,-4.6952,3.1579,0.3021
33.6000,250.7165,-50.6597,249.5535,-52.5080,2.1837,-4.6267,3.1218,0.3001
33.8000,251.2417,-49.6248,250.1015,-51.5773,2.2610,-4.5586,3.0893,0.2965
34.0000,251.7557,-48.5410,250.6394,-50.5956,2.3383,-4.4907,3.0602,0.2914
34.2000,252.2581,-47.4093,251.1666,-49.5639,2.4154,-4.4232,3.0346,0.2848
34.4000,252.7485,-46.2308,251.6827,-48.4833,2.4919,-4.3561,3.0124,0.2768
34.6000,253.2262,-45.0067,252.1870,-47.3546,2.5677,-4.2893,2.9936,0.2674
34.8000,253.6909,-43.7381,252.6792,-46.1792,2.6424,-4.2229,2.9780,0.2566
35.0000,254.1421,-42.4264,253.1587,-44.9579,2.7158,-4.1569,2.9657,0.2444
35.2000,254.5794,-41.0728,253.6250,-43.6922,2.7879,-4.0914,2.9566,0.2309
35.4000,255.0022,-39.6787,254.0777,-42.3833,2.8583,-4.0262,2.9505,0.2162
35.6000,255.4103,-38.2454,254.5162,-41.0324,2.9268,-3.9614,2.9474,0.2002
35.8000,255.8031,-36.7744,254.9403,-39.6409,2.9935,-3.8970,2.9471,0.1829
36.0000,256.1803,-35.2671,255.3494,-38.2101,3.0581,-3.8330,2.9497,0.1646
36.2000,256.5416,-33.7250,255.7432,-36.7415,3.1204,-3.7693,2.9549,0.1450
36.4000,256.8866,-32.1496,256.1212,-35.2366,3.1805,-3.7060,2.9626,0.1244
36.6000,257.2148,-30.5425,256.4831,-33.6968,3.2380,-3.6429,2.9728,0.1028
36.8000,257.5261,-28.9052,256.8287,-32.1236,3.2931,-3.5802,2.9853,0.0802
37.0000,257.8201,-27.2394,257.1574,-30.5187,3.3456,-3.5177,3.0000,0.0565
37.2000,258.0965,-25.5468,257.4691,-28.8836,3.3953,-3.4555,3.0167,0.0320
37.4000,258.3551,-23.8289,257.7634,-27.2199,3.4423,-3.3935,3.0354,0.0066
37.6000,258.5955,-22.0875,258.0400,-25.5293,3.4864,-3.3317,3.0559,-0.0196
37.8000,258.8176,-20.3243,258.2988,-23.8135,3.5276,-3.2701,3.0781,-0.0465
38.0000,259.0211,-18.5410,258.5394,-22.0741,3.5658,-3.2087,3.1018,-0.0743
38.2000,259.2059,-16.7395,258.7617,-20.3129,3.6010,-3.1474,3.1270,-0.1027
38.4000,259.3717,-14.9214,258.9653,-18.5317,3.6331,-3.0863,3.1536,-0.1318
38.6000,259.5183,-13.0886,259.1502,-16.7321,3.6620,-3.0253,3.1814,-0.1614
38.8000,259.6457,-11.2429,259.3162,-14.9159,3.6878,-2.9645,3.2103,-0.1917
39.0000,259.7538,-9.3861,259.4631,-13.0851,3.7104,-2.9039,3.2403,-0.2225
39.2000,259.8423,-7.5200,259.5907,-11.2413,3.7298,-2.8434,3.2712,-0.2537
39.4000,259.9112,-5.6465,259.6990,-9.3863,3.7458,-2.7831,3.3030,-0.2854
39.6000,259.9605,-3.7674,259.7879,-7.5221,3.7586,-2.7230,3.3356,-0.3175
39.8000,259.9901,-1.8846,259.8572,-5.6505,3.7681,-2.6632,3.3689,-0.3501
